a,r,b
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'n = 5, start = 0', 'output': '8', 'explanation': 'Array nums is equal to [0, 2, 4, 6, 8] where (0 ^ 2 ^ 4 ^ 6 ^ 8) = 8.\nWhere ""^"" corresponds to bitwise XOR operator.'}, {'id': 2, 'input': 'n = 4, start = 3', 'output': '8', 'explanation': 'Array nums is equal to [3, 5, 7, 9] where (3 ^ 5 ^ 7 ^ 9) = 8.'}], topics: [Bit Manipulation, Array, Math], problem_statement: You are given an integer n and an integer start.

Define an array nums where nums[i] = start + 2 * i (0-indexed) and n == nums.length.

Return the bitwise XOR of all elements of nums., title: XOR Operation in an Array, constraints: [1 <= n <= 1000, 0 <= start <= 1000, n == nums.length]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'cost = [10,15,20]', 'output': '15', 'explanation': 'You will start at index 1.\n- Pay 15 and climb two steps to reach the top.\nThe total cost is 15.'}, {'id': 2, 'input': 'cost = [1,100,1,1,1,100,1,1,100,1]', 'output': '6', 'explanation': 'You will start at index 0.\n- Pay 1 and climb two steps to reach index 2.\n- Pay 1 and climb two steps to reach index 4.\n- Pay 1 and climb two steps to reach index 6.\n- Pay 1 and climb one step to reach index 7.\n- Pay 1 and climb two steps to reach index 9.\n- Pay 1 and climb one step to reach the top.\nThe total cost is 6.'}], topics: [Dynamic Programming, Array], problem_statement: You are given an integer array cost where cost[i] is the cost of ith step on a staircase. Once you pay the cost, you can either climb one or two steps.

You can either start from the step with index 0, or the step with index 1.

Return the minimum cost to reach the top of the floor., title: Min Cost Climbing Stairs, constraints: [2 <= cost.length <= 1000, 0 <= cost[i] <= 999]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'rowIndex = 3', 'output': '[1,3,3,1]'}, {'id': 2, 'input': 'rowIndex = 0', 'output': '[1]'}, {'id': 3, 'input': 'rowIndex = 1', 'output': '[1,1]'}], topics: [Array, Dynamic Programming], problem_statement: Given an integer rowIndex, return the rowIndexth (0-indexed) row of the Pascal's triangle.

In Pascal's triangle, each number is the sum of the two numbers directly above it., title: Pascal's Triangle II, constraints: [0 <= rowIndex <= 33]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Hash Table}],"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'head = [3,2,0,-4], pos = 1', 'output': 'true', 'explanation': 'There is a cycle in the linked list, where the tail connects to the 1st node (0-indexed).'}, {'id': 2, 'input': 'head = [1,2], pos = 0', 'output': 'true', 'explanation': 'There is a cycle in the linked list, where the tail connects to the 0th node.'}, {'id': 3, 'input': 'head = [1], pos = -1', 'output': 'false', 'explanation': 'There is no cycle in the linked list.'}], topics: [Linked List, Two Pointers, Hash Table], problem_statement: Given head, the head of a linked list, determine if the linked list has a cycle in it.

There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter.

Return true if there is a cycle in the linked list. Otherwise, return false., title: Linked List Cycle, constraints: [The number of the nodes in the list is in the range [0, 10^4]., -10^5 <= Node.val <= 10^5, pos is -1 or a valid index in the linked-list.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'nums = [1,2,3,3,4,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,5] --> 1, 2, 3\n[1,2,3,3,4,5] --> 3, 4, 5'}, {'id': 2, 'input': 'nums = [1,2,3,3,4,4,5,5]', 'output': 'true', 'explanation': 'nums can be split into the following subsequences:\n[1,2,3,3,4,4,5,5] --> 1, 2, 3, 4, 5\n[1,2,3,3,4,4,5,5] --> 3, 4, 5'}, {'id': 3, 'input': 'nums = [1,2,3,4,4,5]', 'output': 'false', 'explanation': 'It is impossible to split nums into consecutive increasing subsequences of length 3 or more.'}], topics: [Array], problem_statement: You are given an integer array nums that is sorted in non-decreasing order.

Determine if it is possible to split nums into one or more subsequences such that both of the following conditions are true:
- Each subsequence is a consecutive increasing sequence (i.e. each integer is exactly one more than the previous integer).
- All subsequences have a length of 3 or more.

Return true if you can split nums according to the above conditions, or false otherwise.

A subsequence of an array is a new array that is formed from the original array by deleting some (can be none) of the elements without disturbing the relative positions of the remaining elements. (i.e., [1,3,5] is a subsequence of [1,2,3,4,5] while [1,3,2] is not)., title: Split Array into Consecutive Subsequences, constraints: [1 <= nums.length <= 10^4, -1000 <= nums[i] <= 1000, nums is sorted in non-decreasing order.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: Array}],"(:Problem {difficulty: Medium, examples: [{'id': 1, 'input': 'arr = [3,3,3,3,5,5,5,2,2,7]', 'output': '2', 'explanation': 'Choosing {3,7} will make the new array [5,5,5,2,2] which has size 5 (i.e equal to half of the size of the old array).\nPossible sets of size 2 are {3,5},{3,2},{5,2}.\nChoosing set {2,7} is not possible as it will make the new array [3,3,3,3,5,5,5] which has a size greater than half of the size of the old array.'}, {'id': 2, 'input': 'arr = [7,7,7,7,7,7]', 'output': '1', 'explanation': 'The only possible set you can choose is {7}. This will make the new array empty.'}], topics: [Array], problem_statement: You are given an integer array arr. You can choose a set of integers and remove all the occurrences of these integers in the array.

Return the minimum size of the set so that at least half of the integers of the array are removed., title: Reduce Array Size to The Half, constraints: [2 <= arr.length <= 10^5, arr.length is even., 1 <= arr[i] <= 10^5]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'sentence = ""thequickbrownfoxjumpsoverthelazydog""', 'output': 'true', 'explanation': 'sentence contains at least one of every letter of the English alphabet.'}, {'id': 2, 'input': 'sentence = ""leetcode""', 'output': 'false', 'explanation': None}], topics: [Array, Hash Table, String], problem_statement: A pangram is a sentence where every letter of the English alphabet appears at least once. Given a string sentence containing only lowercase English letters, return true if sentence is a pangram, or false otherwise., title: Check if the Sentence Is Pangram, constraints: [1 <= sentence.length <= 1000, sentence consists of lowercase English letters.]})",[:SIMILAR_TOPIC {shared_topic: String}],"(:Problem {difficulty: Hard, examples: [{'id': 1, 'input': 's = ""ADOBECODEBANC"", t = ""ABC""', 'output': '""BANC""', 'explanation': 'The minimum window substring ""BANC"" includes \'A\', \'B\', and \'C\' from string t.'}, {'id': 2, 'input': 's = ""a"", t = ""a""', 'output': '""a""', 'explanation': 'The entire string s is the minimum window.'}, {'id': 3, 'input': 's = ""a"", t = ""aa""', 'output': '""""', 'explanation': ""Both 'a's from t must be included in the window.\nSince the largest window of s only has one 'a', return empty string.""}], topics: [String], problem_statement: Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".

The testcases will be generated such that the answer is unique., title: Minimum Window Substring, constraints: [m == s.length, n == t.length, 1 <= m, n <= 10^5, s and t consist of uppercase and lowercase English letters.]})"
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: Array})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})",[:BELONGS_TO_TOPIC],(:Topic {name: String})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})",[:HAS_DIFFICULTY],(:Difficulty {level: Easy})
"(:Problem {difficulty: Easy, examples: [{'id': 1, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""', 'output': '1', 'explanation': 'There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].'}, {'id': 2, 'input': 'items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""', 'output': '2', 'explanation': 'There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.'}], topics: [Array, String], problem_statement: You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.

The ith item is said to match the rule if one of the following is true:
- ruleKey == ""type"" and ruleValue == typei.
- ruleKey == ""color"" and ruleValue == colori.
- ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule., title: Count Items Matching a Rule, constraints: [1 <= items.length <= 10^4, 1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10, ruleKey is equal to either ""type"", ""color"", or ""name""., All strings consist only of lowercase letters.]})",[:HAS_SOLUTION],"(:Solution {code: class Solution {
public:
    int countMatches(vector<vector<string>>& items, string ruleKey, string ruleValue) {
        int n = items.size();
        int x, c = 0;
        
        if(ruleKey == ""type"") x = 0;
        if(ruleKey == ""color"") x = 1;
        if(ruleKey == ""name"") x = 2;
        
        for(int i = 0; i < n; i++)
        {
            if(items[i][x] == ruleValue)
                c++;
        }
        
        return c;
    }
};, language: C++, approach: Standard})"
